23998,20180
18038,8552
5144,17286
4280,17484
6965,3763
12996,30068
22351,15450
9178,22747
224,7073
22171,10476
16138,17844
3142,22697
829,2166
7957,20840
12003,21454
1855,19188
10878,19392
15113,19702
3800,26984
14677,9776
4540,28281
6476,24843
19621,14476
19679,2431
19268,3657
1372,10680
18314,32753
22238,13340
1192,21448
6215,32408
22341,7287
18903,7289
9456,3191
17243,18780
12055,27890
13166,4543
23751,20639
3404,7901
22477,13571
15124,26721
22450,26406
22249,22605
8750,30432
17828,220
6928,15993
20039,17415
7654,5071
6511,27914
18497,2894
17355,17408
2733,20094
21731,19918
14149,7008
13283,23684
13723,640
21929,25836
4984,11846
23738,27008
7845,19532
1051,3316
1347,18238
2088,24126
17034,32383
14203,8622
5391,8141
4137,34445
24028,25488
16597,10404
2368,8416
16313,19092
20812,7574
1113,17783
23559,28523
3983,3397
6696,27514
5182,25985
4209,22682
4668,13697
8441,20096
7884,23367
8219,24839
12600,29442
14414,7147
20958,8015
23618,32693
18149,16630
16732,17902
9725,8964
8527,23905
14610,1518
19285,4751
17514,7217
19698,27084
16862,30397
8399,7080
3345,18277
19339,8461
4487,7430
7623,11661
24360,24134
1107,19929
20270,33138
16521,18598
2137,23773
8020,1284
22029,2113
7692,12474
21983,13150
5044,29649
12907,8603
13048,17048
16725,25295
24349,17322
1672,23558
8271,23499
13760,25887
14687,31173
19990,20712
2688,836
4307,2577
9128,34512
4705,31813
253,29004
3092,8337
848,9150
4348,20319
264,24206
5378,33189
4923,23998
12583,23053
11110,23536
6673,34474
18263,17371
19034,27361
8340,31098
1372,12275
13325,29768
20460,23803
267,9620
5475,7579
21579,30490
19919,1614
14456,24702
18945,16280
11414,13598
20117,4444
5922,8402
8258,12619
15658,16089
12273,3114
14797,30460
2494,34333
9298,22350
11278,6019
2271,34016
2944,3098
6491,26444
21765,636
5648,28504
2711,8932
18752,10720
21711,32426
11310,8492
4284,28097
19425,6810
9291,27966
20226,9473
9915,18083
18207,27728
4163,2550
9298,20856
20476,31248
24381,31643
20920,9396
3269,29139
11077,21929
18136,10955
15832,30510
24338,17281
13747,23398
5682,4699
14804,19863
14847,20893
18490,10732
2761,13621
13542,6889
3984,8630
18576,3577
17580,18834
12696,10657
13662,6448
16980,1143
17199,26977
18129,20244
13476,8140
7667,27939
11279,5373
9023,17863
7639,683
17078,7025
15639,32537
15747,12878
6872,10490
3954,14721
13778,4575
13351,234
9081,3185
15707,8812
1120,34148
13150,31770
22205,27105
6172,6270
745,23471
2493,3452
7205,28698
11556,4659
21728,16019
21515,134
19608,16170
21105,14327
21059,31598
212,12154
12281,16800
18817,8565
14888,4301
14454,11965
5713,9450
15367,18994
15385,22434
8014,12553
6964,20519
8839,11187
234,7805
